nome,preco,codigo item,descrição
Arroz 5kg,27.90,2001,Arroz branco tipo 1 pacote de 5kg
Feijão Carioca 1kg,8.49,2002,Feijão carioca selecionado pacote 1kg
Leite Integral 1L,4.79,2003,Leite UHT integral caixa 1 litro
Óleo de Soja 900ml,6.99,2004,Óleo vegetal refinado de soja
Macarrão Espaguete 500g,3.59,2005,Massa de trigo tipo espaguete
Açúcar Refinado 1kg,4.29,2006,Açúcar branco refinado
Café Torrado e Moído 500g,14.90,2007,Café tradicional embalado a vácuo
Biscoito Recheado Chocolate,2.99,2008,Biscoito doce com recheio de chocolate
Refrigerante Cola 2L,7.99,2009,Bebida gaseificada sabor cola
Detergente Líquido 500ml,2.49,2010,Detergente para louças aroma limão
Sabão em Pó 1kg,9.99,2011,Sabão em pó para roupas
Papel Higiênico 12 rolos,16.90,2012,Papel higiênico folha dupla
Frango Congelado 1kg,11.90,2013,Frango inteiro congelado
Carne Moída 1kg,24.90,2014,Carne bovina moída fresca
Queijo Mussarela 500g,18.50,2015,Queijo fatiado para sanduíches
